"family","n_slope","n_sp","n_rep","seed","x_sd","slope_scale","conv","pdHess","max_sigma_diff","slope_var_ratio_1","slope_var_ratio_2","slope_var_ratio_3","slope_var_ratio_4","slope_var_ratio_min","slope_var_ratio_max","slope_var_ratios","sigma_eigen_min","sigma_eigen_max","sigma_condition","truth_condition","fit_objective","fit_iterations","family_param_min","family_param_max","eta_min","eta_max","eta_sd","x_abs_cor_max","response_mean","response_min","response_max","response_zero_frac","response_boundary_frac","strict_recovered","loose_recovered","failure_reason","note"
"Beta",2,300,10,2001,1,1,0,TRUE,0.2538,0.654,0.786,NA,NA,0.467,1.008,"0.654;0.786;0.467;1.008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"low_ratio",NA
"Beta",2,300,10,2002,1,1,0,TRUE,0.1808,1.298,0.53,NA,NA,0.439,1.298,"1.298;0.53;0.439;0.777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"low_ratio",NA
"Beta",2,300,10,2003,1,1,0,TRUE,0.2518,1.042,1.747,NA,NA,0.918,1.747,"1.042;1.747;0.918;1.535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Beta",2,600,10,2001,1,1,0,TRUE,0.1942,1.475,1.444,NA,NA,1.055,1.475,"1.475;1.444;1.055;1.073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Beta",2,600,10,2002,1,1,0,TRUE,0.1254,0.806,1.068,NA,NA,0.806,1.068,"0.806;1.068;1.059;0.818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Beta",2,600,10,2003,1,1,0,TRUE,0.3455,0.891,0.85,NA,NA,0.828,1.291,"0.891;0.85;0.828;1.291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Beta",2,600,10,2201,1,1,0,TRUE,0.0995,0.958,0.852,NA,NA,0.691,0.958,"0.958;0.852;0.691;0.778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Beta",2,600,10,2202,1,1,0,TRUE,0.2509,0.846,0.825,NA,NA,0.825,1.207,"0.846;0.825;1.207;1.136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Beta",2,600,10,2203,1,1,0,TRUE,0.1861,0.427,0.904,NA,NA,0.427,0.904,"0.427;0.904;0.551;0.825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"low_ratio",NA
"binomial",2,300,10,2001,1,1,0,TRUE,0.2132,1.201,1.408,NA,NA,0.821,1.408,"1.201;1.408;0.821;1.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"binomial",2,300,10,2002,1,1,0,TRUE,0.1849,0.83,0.447,NA,NA,0.426,0.83,"0.83;0.447;0.426;0.716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"low_ratio",NA
"binomial",2,300,10,2003,1,1,0,TRUE,0.2099,1.476,1.396,NA,NA,1.281,1.476,"1.476;1.396;1.281;1.414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"binomial",2,600,10,2001,1,1,0,TRUE,0.1705,1.525,1.049,NA,NA,0.858,1.525,"1.525;1.049;1.099;0.858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"binomial",2,600,10,2002,1,1,0,TRUE,0.1187,0.783,0.689,NA,NA,0.689,1.025,"0.783;0.689;0.853;1.025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"binomial",2,600,10,2003,1,1,0,TRUE,0.1819,1.158,0.969,NA,NA,0.969,1.158,"1.158;0.969;1.013;1.049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"binomial",2,600,10,2201,1,1,0,TRUE,0.282,1.391,1.015,NA,NA,0.669,1.391,"1.391;1.015;0.835;0.669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
