"n","p","q","arm","n_seed","n_ok","beta_rmse_med","beta_rmse_mean","sigma_rel_frob_med","sigma_rel_frob_mean","frob_Shat_med","sigma_trace_med","trace_ratio_med","frac_collapse","frac_runaway","pass_abs","secs_med"
120,8,2,"gllvm_va",10,10,0.123172893651453,0.130332413617715,0.999999999991428,0.999999999978637,2.84298071022904e-11,2.95207836958881e-11,2.03822966377862e-11,1,0,0,0.0945
120,8,2,"gtmb_gh",10,10,0.137808119950646,0.150644860732183,1.59995734985957,1.56354459096023,2.31182699065657,3.1829366955547,2.04438513981563,0,0.5,0,2.007
120,8,2,"gtmb_la",10,10,0.133897680487337,0.14843449973621,1.42258018571885,1.32143476138882,2.02875141044,2.71032280919204,1.77445254726446,0,0.2,0,0.990999999999998
120,8,2,"gtmb_poisg",10,10,0.123172839913819,0.130332478061646,0.999999999971505,0.999999999969762,7.74869804674108e-11,8.74020967731441e-11,5.52689364338253e-11,1,0,0,1.2295
400,8,2,"gllvm_va",10,10,0.0638158477394583,0.0625594875219759,0.999999999979145,0.99999999986992,1.14457437326398e-10,1.22300888451779e-10,7.5955869720246e-11,1,0,0,0.457000000000001
400,8,2,"gtmb_gh",10,10,0.0692574137730801,0.0647128166653731,0.817944322509287,0.811719374241779,1.59489909739123,2.10762727786239,1.38174649368136,0,0,0,17.114
400,8,2,"gtmb_la",10,10,0.0668889394410728,0.0651724265789371,0.634989254072575,0.64533953542957,1.39418704521214,1.90179286438525,1.25153861020642,0,0,0.2,3.3395
400,8,2,"gtmb_poisg",10,10,0.0638167314867275,0.062559818955656,0.99999999998889,0.999999999981734,1.96577035682694e-11,2.28252916173585e-11,1.53853177102787e-11,1,0,0,11.348
1000,8,2,"gllvm_va",10,10,0.0375928533038783,0.0405287240809476,0.999999999959328,0.999999999926479,9.68014576401492e-11,9.77393588034583e-11,6.60568026132991e-11,1,0,0,4.99400000000001
1000,8,2,"gtmb_gh",10,10,0.0368433777219849,0.0413880908256017,0.369849914765796,0.39688436554837,1.23152452807123,1.60128280842668,1.01127670303794,0,0,0.8,128.015
1000,8,2,"gtmb_la",10,10,0.037499178799901,0.0406568844917647,0.393993632501884,0.37402416900782,1.21638838523084,1.62282702848787,1.00967994329013,0,0,0.9,8.61899999999997
1000,8,2,"gtmb_poisg",10,10,0.0375930790284343,0.0405286912100627,0.999999999950128,0.999999999941852,7.24810208617678e-11,7.51343868615451e-11,4.5744678293961e-11,1,0,0,93.762
