"seed","n","p","q","arm","ok","beta_rmse","sigma_rel_frob","frob_Shat","sigma_trace","trace_ratio","sigma_collapse","sigma_runaway","secs","pass_abs","err"
11201,500,20,2,"gtmb_poisg",TRUE,0.0726123615560419,0.99999999949199,2.30076204768069e-09,2.51213590601786e-09,7.27750535285148e-10,TRUE,FALSE,51.538,FALSE,"healthy"
11201,500,20,2,"gllvm_va",TRUE,0.072612606752346,0.999999999822017,8.43036468754171e-10,8.46515565582171e-10,2.45230425035474e-10,TRUE,FALSE,1.889,FALSE,"ok"
11201,500,20,2,"gtmb_gh",TRUE,0.0788451227956987,0.425607761270568,3.06736057039328,4.28318685899583,1.24081325452715,FALSE,FALSE,77.496,TRUE,"healthy"
11201,500,20,2,"gtmb_la",TRUE,0.0786109357639534,0.41992522224854,2.99560501419771,4.1888694014152,1.21349005912334,FALSE,FALSE,14.417,TRUE,NA
11202,500,20,2,"gtmb_poisg",TRUE,0.060281071104527,0.999999999947441,3.48919811847643e-10,3.63392178773494e-10,1.21490557763143e-10,TRUE,FALSE,52.898,FALSE,"healthy"
11202,500,20,2,"gllvm_va",TRUE,0.0602804701049909,0.999999998641675,5.34216299415157e-09,5.42692800464547e-09,1.81434975416947e-09,TRUE,FALSE,2.05799999999999,FALSE,"ok"
11202,500,20,2,"gtmb_gh",TRUE,0.0757402709684093,0.575249004862046,2.92783618650458,4.01501797084253,1.34231500070546,FALSE,FALSE,84.047,FALSE,"healthy"
11202,500,20,2,"gtmb_la",TRUE,0.0736067240018474,0.540739684866543,2.83803465790935,3.88766691959006,1.2997385470773,FALSE,FALSE,16.799,FALSE,NA
11203,500,20,2,"gtmb_poisg",TRUE,0.0535884447036906,0.999999998047311,6.72195886858745e-09,6.96777046340944e-09,1.82528363908549e-09,TRUE,FALSE,52.016,FALSE,"healthy"
11203,500,20,2,"gllvm_va",TRUE,0.0535882830037012,0.999999999994693,2.41577108368577e-10,3.39335059679865e-10,8.88925282275561e-11,TRUE,FALSE,1.95999999999999,FALSE,"ok"
11203,500,20,2,"gtmb_gh",TRUE,0.0494421648501256,0.478233317394361,3.39224467620391,4.4987957313814,1.17850871913769,FALSE,FALSE,87.627,TRUE,"healthy"
11203,500,20,2,"gtmb_la",TRUE,0.0510943546271463,0.42600376823686,3.25329891391182,4.30414616412546,1.12751813723878,FALSE,FALSE,15.215,TRUE,NA
11204,500,20,2,"gtmb_poisg",TRUE,0.0383044033889279,0.999999999873316,4.95359698566399e-10,5.5419960549795e-10,1.89731757643033e-10,TRUE,FALSE,52.356,FALSE,"healthy"
11204,500,20,2,"gllvm_va",TRUE,0.0383050814804437,0.999999999999746,1.33182861225731e-10,1.33392058186409e-10,4.56671376237973e-11,TRUE,FALSE,1.621,FALSE,"ok"
11204,500,20,2,"gtmb_gh",TRUE,0.0427502557392181,0.502479205539713,2.32080912654804,2.95580530490284,1.011928067408,FALSE,FALSE,93.197,FALSE,"healthy"
