"n","arm","n_seed","n_ok","n_healthy","beta_rmse","sigma_rel_frob","sigma_rel_frob_med","frac_sigma_le_0.5","pass_abs","frac_collapse","frac_runaway","max_abs_loading_mean","secs_mean","secs_median","secs_ratio_vs_gtmb_la","n_na_err"
120,"gtmb_va",12,12,0,0.116575629239541,1.40921271868938,1.501137353979,0,0,0,0.5,NA,2.3285,2.198,3.50545728264961,12
120,"gtmb_la",12,12,12,0.113627842849688,0.831336514225217,0.860538670919342,0,0,0,0,0.715507957349101,0.66425,0.622,1,0
120,"gllvm_la",12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00374999999999955,0.00399999999999778,0.00564546480993534,12
120,"gllvm_va",12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000249999999999417,0,0.000376364320661524,12
400,"gtmb_va",12,12,0,0.0644009315438348,0.706958943146938,0.687813033098544,0.166666666666667,0.166666666666667,0,0,NA,11.4528333333333,11.525,6.3618016016294,12
400,"gtmb_la",12,12,2,0.0630669695685432,0.494889596026403,0.477189223965254,0.583333333333333,0.583333333333333,0,0,0.58116672125547,1.80025,1.868,1,0
400,"gllvm_la",12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00291666666666697,0.00300000000000011,0.00162014535018302,12
400,"gllvm_va",12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8.33333333337312e-05,0,4.62898671483023e-05,12
1000,"gtmb_va",12,12,0,0.0362208433395563,0.409269470987251,0.390915491352937,0.75,0.75,0,0,NA,53.67125,53.5395,14.2279143747101,12
1000,"gtmb_la",12,12,2,0.0357565754119154,0.354157440735012,0.353647120346075,0.916666666666667,0.916666666666667,0,0,0.566612870765289,3.77225,3.5545,1,0
1000,"gllvm_la",12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00424999999999661,0.00300000000000011,0.00112664855192434,12
1000,"gllvm_va",12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000250000000000009,0,6.62734442308992e-05,12
