"seed","n","p","q","arm","ok","healthy","beta_rmse","sigma_rel_frob","frob_Shat","sigma_collapse","sigma_runaway","phi_mean","max_g_fe","max_abs_loading","secs","pass_abs","err"
11401,120,8,2,"gtmb_va",TRUE,FALSE,0.0928088661934439,0.826808279318887,1.04467997855871,FALSE,FALSE,5.77464440714731,1.79965600337617e-05,NA,2.021,FALSE,"status=failed_health_gate"
11401,120,8,2,"gtmb_la",TRUE,TRUE,0.0919363662953563,0.725225025847559,0.916809165649847,FALSE,FALSE,5.56762801549658,0.000151311098160412,0.507895490727889,0.366999999999997,FALSE,NA
11401,120,8,2,"gllvm_la",TRUE,TRUE,0.0740296580657223,0.860316078519621,0.34021914661449,FALSE,FALSE,5.60915059861309,NA,0.369002690899317,6.195,FALSE,NA
11401,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.000999999999997669,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11402,120,8,2,"gtmb_va",TRUE,FALSE,0.113565768189828,0.331271921772256,2.18316918446801,FALSE,FALSE,5.54610155360132,4.51410105762884e-05,NA,1.806,TRUE,"status=failed_health_gate"
11402,120,8,2,"gtmb_la",TRUE,TRUE,0.1134696567809,0.307144835971779,2.11418315888155,FALSE,FALSE,5.5204014509005,0.00027466927837605,0.787011855794686,0.358000000000004,TRUE,NA
11402,120,8,2,"gllvm_la",TRUE,TRUE,0.110137367202612,0.664555940485409,0.749966812622106,FALSE,FALSE,5.32861122183581,NA,0.495111097836986,8.815,FALSE,NA
11402,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11403,120,8,2,"gtmb_va",TRUE,FALSE,0.0609428494919358,0.77276235169175,1.83983591610043,FALSE,FALSE,5.3650148290854,7.34591376498062e-05,NA,1.842,FALSE,"status=failed_health_gate"
11403,120,8,2,"gtmb_la",TRUE,TRUE,0.0612885925659399,0.688936395827873,1.74964722552411,FALSE,FALSE,5.27985320939889,0.000204105193159054,0.759226770583067,0.377999999999993,FALSE,NA
11403,120,8,2,"gllvm_la",TRUE,TRUE,0.0544935967542627,0.707808221507638,0.576372446598711,FALSE,FALSE,4.91694625604338,NA,0.422969723557909,5.327,FALSE,NA
11403,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11404,120,8,2,"gtmb_va",TRUE,FALSE,0.0881506833143371,0.578970038242034,1.37717504525323,FALSE,FALSE,5.53240305144055,1.45713025623273e-05,NA,1.84,FALSE,"status=failed_health_gate"
11404,120,8,2,"gtmb_la",TRUE,TRUE,0.0892207919028974,0.487742581892749,1.23116545944048,FALSE,FALSE,5.26475504336899,0.000187686941732879,0.626359116384894,0.393000000000001,TRUE,NA
11404,120,8,2,"gllvm_la",TRUE,TRUE,0.0596611195238334,0.701457980178563,0.412234580841949,FALSE,FALSE,4.70540039067178,NA,0.344326538173776,1.011,FALSE,NA
11404,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.000999999999997669,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11405,120,8,2,"gtmb_va",TRUE,FALSE,0.122661894790405,0.767616706445267,1.40294192500614,FALSE,FALSE,5.67240082831717,2.48981176333568e-05,NA,2.068,FALSE,"status=failed_health_gate"
11405,120,8,2,"gtmb_la",TRUE,TRUE,0.123179863726896,0.626778137070392,1.26262766980478,FALSE,FALSE,5.28033903957687,0.000182797977228311,0.6465422217505,0.506,FALSE,NA
11405,120,8,2,"gllvm_la",TRUE,TRUE,0.0904132095809425,0.708185424048519,0.487515249741665,FALSE,FALSE,5.36404904056882,NA,0.390375570058091,1.812,FALSE,NA
11405,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11406,120,8,2,"gtmb_va",TRUE,FALSE,0.122135994580131,0.483075171778794,1.23784901990434,FALSE,FALSE,5.47286009234075,6.81524656678256e-05,NA,1.867,TRUE,"status=failed_health_gate"
