"n","arm","n_seed","n_ok","n_healthy","beta_rmse","sigma_rel_frob","sigma_rel_frob_med","frac_sigma_le_0.5","pass_abs","frac_collapse","frac_runaway","max_abs_loading_mean","secs_mean","secs_median","secs_ratio_vs_gtmb_la","n_na_err"
120,"gtmb_va",12,12,0,0.0907829490585077,0.706930842380928,0.648361408679539,0.25,0.25,0,0.0833333333333333,NA,6.36091666666667,1.963,16.1992784380306,12
120,"gtmb_la",12,12,12,0.0901082936055801,0.51636220403871,0.476303949113132,0.583333333333333,0.583333333333333,0,0,0.656930662712313,0.392666666666666,0.389999999999997,1,0
120,"gllvm_la",12,12,12,0.0803593825282582,0.726175612817177,0.707996822778079,0,0,0,0,0.460426115223695,3.7065,3.645,9.43930390492362,0
120,"gllvm_va",12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000416666666666288,0,0.00106112054329276,12
400,"gtmb_va",12,12,0,0.0485381253808237,0.275818126893733,0.270100406608706,1,1,0,0,NA,10.5445,10.09,8.70666758411891,12
400,"gtmb_la",12,12,12,0.0484378572971899,0.296104280491284,0.277869767836047,1,1,0,0,0.603099497299228,1.21108333333333,1.105,1,0
400,"gllvm_la",12,12,12,0.0685840137112839,0.698968666383844,0.687860165285342,0,0,0,0,0.58353641033957,10.5010833333333,7.8245,8.6708181380307,0
400,"gllvm_va",12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000250000000001194,0,0.000206426752908163,12
1000,"gtmb_va",12,12,0,0.0304076691956954,0.17461764820255,0.170316298047936,1,1,0,0,NA,52.70475,52.8655,23.7355325377168,12
1000,"gtmb_la",12,12,11,0.0306496369235914,0.21155325615043,0.19740112767774,1,1,0,0,0.594760962512565,2.2205,2.103,1,0
1000,"gllvm_la",12,12,12,0.0668418859307758,0.705689103000362,0.699352851536053,0,0,0,0,0.370453894829118,31.2048333333333,30.8985,14.0530661262479,0
1000,"gllvm_va",12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000416666666666288,0,0.000187645425204363,12
